arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_git_identity_us,first_source_revalidation_us,first_sidecar_encode_us,repetition,git_identity_us,source_revalidation_us,sidecar_decode_us,identity_only_untrusted_decode_us,total_validated_reuse_us,full_git_snapshot_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,7,23463,575387,206216,229679,805068,446190,fresh_exec_per_arm,reuse_then_a1,96877,1770,1479,461224,836660,2957,808025
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,8,21206,529545,220947,242153,771699,432371,fresh_exec_per_arm,a1_then_reuse,96877,2058,2347,450199,797137,2488,774188
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,9,21090,468584,203145,224235,692822,366668,fresh_exec_per_arm,reuse_then_a1,96877,2922,2634,383135,719840,2573,695395
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,10,21613,522716,204466,226079,748797,427237,fresh_exec_per_arm,a1_then_reuse,96877,3209,3496,444390,776368,2872,751670
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,11,21724,490517,202413,224137,714656,363171,fresh_exec_per_arm,reuse_then_a1,96877,4075,3788,380605,742086,2882,717539
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,12,20629,557342,209176,229805,787149,364614,fresh_exec_per_arm,a1_then_reuse,96877,4362,4651,380130,813078,2642,789792
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,13,19582,502969,211553,231135,734106,411751,fresh_exec_per_arm,reuse_then_a1,96877,5225,4938,427742,766406,2620,736727
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,14,22990,514690,213194,236184,750878,442002,fresh_exec_per_arm,a1_then_reuse,96877,5512,5799,457831,779166,2835,753713
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,15,22204,485952,212816,235020,720974,450158,fresh_exec_per_arm,reuse_then_a1,96877,6374,6086,466490,748819,2629,723604
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,16,21448,551535,204205,225653,777191,399141,fresh_exec_per_arm,a1_then_reuse,96877,6661,6948,414896,804663,2435,779627
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,17,25772,500094,201703,227475,727573,392544,fresh_exec_per_arm,reuse_then_a1,96877,7529,7242,408825,753527,2690,730263
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,18,21650,469283,201591,223241,692527,364400,fresh_exec_per_arm,a1_then_reuse,96877,7816,8104,379319,720685,2662,695189
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,19,20287,492592,205247,225534,718133,399479,fresh_exec_per_arm,reuse_then_a1,96877,8681,8391,415324,745657,2701,720834
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,20,22990,520320,209328,232318,752642,376495,fresh_exec_per_arm,a1_then_reuse,96877,8968,9263,392574,779931,2959,755601
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,21,21912,449332,207372,229284,678618,415367,fresh_exec_per_arm,reuse_then_a1,96877,9838,9550,435626,704947,2575,681194
E2-git-sidecar,mixed_smoke,os_cache_warm,16000,10aba33560535f4d8405653986a7eb0fd25a1ab66242ccb7cb9faa5d9920dbab,9629930,18832156,326479,21418,479110,106467,22,20463,494010,202954,223417,717429,382184,fresh_exec_per_arm,a1_then_reuse,96877,10125,10416,399489,744803,2535,719965
